beat,lane,duration
9.47,3,0
11.47,0,0
13.47,1,0
15.47,2,0
17.47,3,0
18.47,2,0
19.47,1,0
20.47,0,0
21.47,3,0
22.47,0,0
23.47,0,0
24.47,1,0
25.47,3,0
26.47,1,0
27.47,0,0
28.47,2,0
29.47,0,0
30.47,1,0
31.47,3,0
32.47,2,0
33.47,0,0
34.47,3,0
35.47,1,0
36.47,2,0
37.47,1,0
38.47,3,0
39.47,0,0
40.47,1,0
41.47,3,0
42.47,1,0
43.47,0,0
44.47,2,0
45.47,3,0
46.47,2,0
47.47,0,0
48.47,1,0
49.47,1,0
49.47,0,0
50.47,3,0
50.47,1,0
51.47,2,0
52.47,0,0
53.47,1,0
54.47,0,0
55.47,3,0
56.47,2,0
57.47,1,0
58.47,3,0
59.47,1,0
60.47,0,0
61.47,3,0
61.47,3,0
62.47,2,0
63.47,0,0
64.47,2,0
65.47,3,0
66.47,1,0
67.47,0,0
68.47,2,0
69.47,3,0
70.47,2,0
71.47,0,0
72.47,1,0
73.47,0,0
74.47,1,0
75.47,3,0
76.47,2,0
77.47,1,0
78.47,0,0
79.47,0,0
79.47,3,0
80.47,2,0
80.47,1,0
81.47,3,0
81.47,0,0
82.47,1,0
82.47,2,0
83.47,3,0
84.47,0,0
85.47,1,0
85.97,0,0
86.47,1,0
86.97,0,0
87.47,3,0
87.97,1,0
88.47,3,0
88.97,1,0
89.47,3,0
90.47,1,0
91.47,0,0
92.47,2,0
93.47,0,0
94.47,1,0
95.47,3,0
96.47,2,0
97.47,0,0
97.47,3,0
98.47,1,0
98.47,2,0
99.47,0,0
99.47,3,0
100.47,1,0
100.47,2,0
101.47,3,0
101.97,1,0
102.47,3,0
102.97,1,0
103.47,2,0
103.97,0,0
104.47,2,0
104.97,0,0
105.47,1,0
106.47,3,0
107.47,1,0
108.47,0,0
109.47,3,0
110.47,1,0
111.47,2,0
112.47,1,0
113.47,3,0
114.47,2,0
115.47,1,0
116.47,2,0
117.47,0,0
118.47,0,0
119.47,1,0
120.47,1,0
121.47,2,0
122.47,3,0
123.47,1,0
124.47,0,0
125.47,1,0
126.47,3,0
127.47,0,0
127.47,3,0
128.47,1,0
128.47,2,0
129.47,0,0
129.47,3,0
130.47,1,0
130.47,2,0
131.47,3,0
131.47,2,0
132.47,0,0
132.47,2,0
133.47,3,0
133.97,0,0
134.47,1,0
134.97,0,0
135.47,3,0
135.97,0,0
136.47,2,0
136.97,1,0
137.47,0,0
138.47,1,0
139.47,3,0
140.47,1,0
141.47,3,0
142.47,2,0
143.47,0,0
144.47,2,0
145.47,3,0
146.47,2,0
147.47,1,0
148.47,0,0
149.47,3,0
149.97,1,0
150.47,2,0
150.97,1,0
151.47,0,0
151.97,1,0
152.47,2,0
153.47,1,0
154.47,1,0
155.47,3,0
156.47,0,0
156.47,3,0
157.47,1,0
158.47,2,0
159.47,3,0
160.47,1,0
160.97,1,0
161.47,0,0
162.47,1,0
163.47,3,0
164.47,2,0
165.47,1,0
166.47,0,0
167.47,2,0
168.47,1,0
169.47,2,0
170.47,2,0
171.47,0,0
171.47,3,0
172.47,0,0
172.47,1,0
173.47,3,0
174.47,2,0
175.47,1,0
176.47,0,0
177.47,3,0
177.97,1,0
178.47,2,0
179.47,0,0
179.97,1,0
180.47,2,0
181.47,3,0
182.47,1,0
182.97,2,0
183.47,2,0
184.47,1,0
185.47,3,0
185.47,1,0
186.47,1,0
186.47,0,0
187.47,2,0
188.47,3,0
189.47,0,0
190.47,1,0
191.47,3,0
192.47,2,0
193.47,3,0
194.47,1,0
195.47,0,0
196.47,2,0
197.47,0,0
198.47,1,0
199.47,3,0
200.47,2,0
201.47,0,0
202.47,2,0
203.47,3,0
204.47,2,0
205.47,1,0
206.47,0,0
207.47,0,0
207.47,3,0
208.47,1,0
208.47,2,0
209.47,0,0
209.47,3,0
210.47,2,0
210.47,1,0
211.47,3,0
212.47,0,0
213.47,1,0
213.97,0,0
214.47,1,0
214.97,0,0
215.47,3,0
215.97,1,0
216.47,3,0
216.97,1,0
217.47,3,0
218.47,1,0
219.47,0,0
220.47,2,0
221.47,0,0
222.47,1,0
223.47,3,0
224.47,2,0
225.47,0,0
225.47,3,0
226.47,1,0
226.47,2,0
227.47,0,0
227.47,3,0
228.47,1,0
228.47,2,0
229.47,3,0
229.97,1,0
230.47,3,0
230.97,1,0
231.47,2,0
231.97,0,0
232.47,2,0
232.97,0,0
233.47,1,0
234.47,3,0
235.47,1,0
236.47,0,0
237.47,3,0
238.47,1,0
239.47,2,0
240.47,1,0
241.47,3,0
242.47,3,0
243.47,0,0
244.47,1,0
245.47,2,0
246.47,2,0
247.47,1,0
248.47,0,0
249.47,3,0
250.47,3,0
250.47,0,0
251.47,1,0
252.47,3,0
253.47,1,0
254.47,0,0
255.47,0,0
255.47,3,0
256.47,1,0
256.47,2,0
257.47,0,0
257.47,3,0
258.47,1,0
258.47,2,0
259.47,3,0
259.47,2,0
260.47,0,0
260.47,2,0
261.47,3,0
261.97,1,0
262.47,0,0
262.97,1,0
263.47,3,0
263.97,2,0
264.47,0,0
264.97,2,0
265.47,3,0
266.47,0,0
267.47,0,0
267.47,3,0
268.47,2,0
268.47,1,0
269.47,0,0
269.47,3,0
270.47,1,0
270.47,2,0
271.47,0,0
271.47,3,0
